epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,860.082,0.58095,0.63553,1.06478,0.93084,0.69444,0.77912,0.53154,1.18619,0.62779,1.48565,0.0008647,0.0008647,0.0008647
43,879.993,0.56345,0.61783,1.05184,0.90527,0.71528,0.76654,0.52733,1.16917,0.62571,1.47954,0.0008614,0.0008614,0.0008614
44,899.362,0.5612,0.62479,1.04161,0.80048,0.71528,0.79692,0.55669,1.10478,0.59492,1.42927,0.0008581,0.0008581,0.0008581
45,919.86,0.55243,0.61595,1.0447,0.80009,0.71528,0.85385,0.57786,1.1976,0.58239,1.51847,0.0008548,0.0008548,0.0008548
46,940.423,0.56238,0.6278,1.04671,0.80307,0.71528,0.74469,0.52305,1.27992,0.60907,1.58572,0.0008515,0.0008515,0.0008515
47,959.98,0.57381,0.6222,1.05916,0.79095,0.71528,0.74171,0.56084,1.16152,0.60628,1.45168,0.0008482,0.0008482,0.0008482
48,979.768,0.56827,0.61631,1.04857,0.73732,0.71528,0.6854,0.5046,1.24624,0.70005,1.54045,0.0008449,0.0008449,0.0008449
49,999.401,0.56173,0.60495,1.04388,0.73323,0.71528,0.70659,0.50898,1.14936,0.63978,1.46323,0.0008416,0.0008416,0.0008416
50,1019.15,0.54308,0.59868,1.03402,0.93549,0.71528,0.75157,0.5389,1.14241,0.62873,1.48545,0.0008383,0.0008383,0.0008383
51,1039.33,0.5272,0.57629,1.02041,0.88341,0.71232,0.79162,0.55957,1.21646,0.64067,1.50424,0.000835,0.000835,0.000835
52,1060.99,0.53806,0.57944,1.03511,0.93311,0.66177,0.73554,0.53629,1.26743,0.69616,1.56948,0.0008317,0.0008317,0.0008317
53,1081.25,0.53982,0.57441,1.03834,0.92529,0.69444,0.77487,0.50767,1.28336,0.74247,1.60609,0.0008284,0.0008284,0.0008284
54,1101.44,0.53576,0.55908,1.03059,0.92862,0.71528,0.76849,0.52811,1.18092,0.68565,1.48351,0.0008251,0.0008251,0.0008251
55,1120.88,0.51937,0.55777,1.02201,0.95394,0.71817,0.81283,0.567,1.13232,0.614,1.48605,0.0008218,0.0008218,0.0008218
56,1140.78,0.52,0.57113,1.0243,0.96615,0.71528,0.80873,0.55987,1.08446,0.6539,1.4277,0.0008185,0.0008185,0.0008185
57,1160.32,0.52564,0.55474,1.01426,0.92579,0.71528,0.79704,0.54992,1.05661,0.67552,1.40581,0.0008152,0.0008152,0.0008152
58,1180.05,0.52238,0.55503,1.01154,0.92457,0.71528,0.81661,0.54302,1.14725,0.62069,1.43741,0.0008119,0.0008119,0.0008119
59,1199.64,0.50555,0.5271,1.01065,0.91612,0.71528,0.80545,0.56794,1.16249,0.59695,1.45898,0.0008086,0.0008086,0.0008086
60,1219.24,0.50358,0.53448,1.00539,0.92721,0.6966,0.76187,0.57311,1.09354,0.57488,1.39668,0.0008053,0.0008053,0.0008053
61,1238.77,0.51166,0.54288,1.00825,0.86117,0.6923,0.80035,0.57544,1.10616,0.55141,1.44272,0.000802,0.000802,0.000802
62,1258.21,0.49724,0.52621,1.00444,0.86537,0.66994,0.73171,0.5414,1.1854,0.54919,1.52096,0.0007987,0.0007987,0.0007987
63,1277.77,0.51047,0.52598,1.00012,0.94153,0.67361,0.75284,0.55402,1.23334,0.64747,1.5664,0.0007954,0.0007954,0.0007954
64,1297.8,0.52479,0.55088,1.01289,0.93705,0.67361,0.77424,0.53882,1.2739,0.56771,1.61812,0.0007921,0.0007921,0.0007921
65,1319.01,0.49674,0.49749,0.99031,0.87408,0.71099,0.76687,0.55412,1.23585,0.5672,1.59811,0.0007888,0.0007888,0.0007888
66,1339.44,0.49606,0.49556,0.99897,0.85452,0.72862,0.76405,0.5607,1.22966,0.57633,1.60505,0.0007855,0.0007855,0.0007855
67,1359.91,0.50778,0.52746,1.01391,0.89594,0.71528,0.75941,0.53161,1.32465,0.62919,1.65443,0.0007822,0.0007822,0.0007822
68,1379.66,0.48333,0.48914,0.99291,0.83285,0.71528,0.73902,0.5326,1.34821,0.62421,1.73428,0.0007789,0.0007789,0.0007789
69,1399.06,0.47609,0.48486,0.9939,0.9386,0.7134,0.77224,0.54435,1.28934,0.60096,1.63924,0.0007756,0.0007756,0.0007756
70,1418.64,0.50161,0.51201,1.01004,0.84045,0.71017,0.73858,0.52407,1.3102,0.6055,1.63694,0.0007723,0.0007723,0.0007723
71,1437.92,0.48784,0.48894,0.9994,0.91245,0.67157,0.72885,0.53898,1.34945,0.62149,1.68647,0.000769,0.000769,0.000769
72,1457.45,0.48556,0.51793,1.00199,0.8391,0.66545,0.7092,0.5269,1.30268,0.69756,1.6546,0.0007657,0.0007657,0.0007657
73,1477.09,0.49942,0.50185,1.00179,0.87582,0.65278,0.70756,0.52093,1.30682,0.69918,1.58264,0.0007624,0.0007624,0.0007624
74,1496.73,0.48236,0.49035,0.99628,0.72514,0.71528,0.66105,0.4979,1.21269,0.69907,1.5317,0.0007591,0.0007591,0.0007591
75,1516.38,0.47776,0.46341,0.98131,0.92013,0.66703,0.71753,0.55743,1.23134,0.60847,1.58048,0.0007558,0.0007558,0.0007558
76,1535.89,0.4759,0.4824,0.99186,0.89767,0.71562,0.75499,0.55335,1.23311,0.63585,1.52922,0.0007525,0.0007525,0.0007525
77,1555.36,0.48635,0.50809,1.00226,0.86818,0.69444,0.72339,0.56189,1.2326,0.61567,1.52946,0.0007492,0.0007492,0.0007492
78,1575.61,0.47363,0.47475,0.98659,0.90237,0.71528,0.71198,0.55114,1.30229,0.66131,1.56666,0.0007459,0.0007459,0.0007459
79,1595.39,0.4722,0.47724,0.98556,0.7489,0.73611,0.68597,0.50627,1.26225,0.69151,1.53204,0.0007426,0.0007426,0.0007426
80,1615.48,0.45703,0.44767,0.97626,0.77091,0.73417,0.70456,0.5157,1.28874,0.69106,1.55506,0.0007393,0.0007393,0.0007393
81,1635.31,0.46913,0.47715,0.98924,0.73052,0.71834,0.74152,0.54668,1.33279,0.63939,1.63884,0.000736,0.000736,0.000736
82,1654.68,0.48215,0.47582,0.99235,0.91774,0.67361,0.72245,0.53575,1.38959,0.59716,1.71574,0.0007327,0.0007327,0.0007327
83,1673.96,0.48011,0.48315,0.98387,0.90137,0.71528,0.72144,0.55349,1.23024,0.55625,1.65025,0.0007294,0.0007294,0.0007294
84,1693.3,0.45757,0.45354,0.97672,0.84417,0.71528,0.72311,0.55406,1.36608,0.64635,1.73184,0.0007261,0.0007261,0.0007261
85,1712.81,0.46249,0.45991,0.97761,0.75182,0.69444,0.66478,0.50043,1.36653,0.66929,1.71235,0.0007228,0.0007228,0.0007228
86,1732.28,0.44742,0.45786,0.96341,0.83581,0.69867,0.74068,0.57808,1.31181,0.60186,1.67546,0.0007195,0.0007195,0.0007195
87,1751.76,0.42862,0.41609,0.96098,0.86439,0.71528,0.75219,0.58189,1.28083,0.54529,1.66764,0.0007162,0.0007162,0.0007162
88,1771.36,0.48183,0.46791,0.97752,0.92003,0.69444,0.76567,0.57296,1.24004,0.49009,1.5819,0.0007129,0.0007129,0.0007129
89,1791.09,0.45108,0.45317,0.97642,0.90203,0.68997,0.75755,0.56801,1.27858,0.49998,1.62533,0.0007096,0.0007096,0.0007096
90,1811.34,0.46333,0.45903,0.98261,0.89945,0.69077,0.74553,0.58165,1.29658,0.51953,1.61439,0.0007063,0.0007063,0.0007063
91,1830.81,0.42274,0.42718,0.9595,0.90879,0.72433,0.77648,0.55196,1.39455,0.51222,1.65913,0.000703,0.000703,0.000703
92,1850.76,0.4417,0.43949,0.96719,0.73773,0.83991,0.8836,0.61854,1.22521,0.49071,1.55132,0.0006997,0.0006997,0.0006997
93,1871.56,0.45489,0.43789,0.96304,0.89836,0.71528,0.79908,0.59176,1.22526,0.57616,1.57045,0.0006964,0.0006964,0.0006964
94,1891.74,0.43837,0.42327,0.95606,0.82753,0.69295,0.80144,0.6112,1.30614,0.53837,1.60747,0.0006931,0.0006931,0.0006931
95,1911.8,0.44373,0.44085,0.96676,0.85659,0.71528,0.75922,0.57512,1.29556,0.513,1.5831,0.0006898,0.0006898,0.0006898
96,1931.66,0.44037,0.43529,0.96273,0.84264,0.7286,0.74671,0.55628,1.30423,0.49063,1.61177,0.0006865,0.0006865,0.0006865
97,1951.3,0.42825,0.40872,0.95665,0.83817,0.6857,0.71586,0.54799,1.32424,0.55039,1.67646,0.0006832,0.0006832,0.0006832
98,1970.91,0.42401,0.41004,0.94979,0.89432,0.66078,0.71444,0.55331,1.25755,0.54405,1.60653,0.0006799,0.0006799,0.0006799
99,1990.67,0.43312,0.4154,0.96213,0.8504,0.69807,0.7303,0.55189,1.30691,0.50828,1.63112,0.0006766,0.0006766,0.0006766
100,2010.39,0.43103,0.44362,0.95465,0.87879,0.70932,0.74955,0.58089,1.34206,0.54427,1.66204,0.0006733,0.0006733,0.0006733
101,2029.86,0.42335,0.41999,0.94177,0.83508,0.72674,0.73474,0.56695,1.35784,0.58256,1.67289,0.00067,0.00067,0.00067
102,2049.31,0.42765,0.42016,0.96168,0.86003,0.71528,0.7352,0.53873,1.41289,0.54011,1.70654,0.0006667,0.0006667,0.0006667
103,2069.04,0.41394,0.38704,0.95046,0.86807,0.65858,0.72946,0.54551,1.35352,0.52555,1.6409,0.0006634,0.0006634,0.0006634
104,2088.67,0.444,0.424,0.95681,0.87625,0.65278,0.76217,0.55942,1.35703,0.58353,1.65172,0.0006601,0.0006601,0.0006601
105,2108.67,0.44295,0.41696,0.9616,0.92563,0.67776,0.75883,0.54492,1.34741,0.57363,1.64819,0.0006568,0.0006568,0.0006568
106,2128.97,0.43657,0.4272,0.95795,0.87699,0.66933,0.71893,0.53169,1.33372,0.58127,1.71613,0.0006535,0.0006535,0.0006535
107,2149.18,0.42201,0.42792,0.95578,0.89107,0.71528,0.73442,0.55125,1.31223,0.59219,1.70121,0.0006502,0.0006502,0.0006502
108,2169.25,0.40186,0.39891,0.94873,0.87277,0.71528,0.72696,0.54245,1.32672,0.54394,1.63458,0.0006469,0.0006469,0.0006469
109,2188.45,0.41981,0.40304,0.94142,0.87161,0.69265,0.73373,0.57075,1.31383,0.52466,1.62765,0.0006436,0.0006436,0.0006436
110,2207.68,0.42121,0.38915,0.95043,0.76098,0.73611,0.73596,0.56963,1.1961,0.5788,1.53487,0.0006403,0.0006403,0.0006403
111,2227.23,0.42737,0.41421,0.94577,0.86152,0.6854,0.73525,0.54456,1.2187,0.56468,1.54051,0.000637,0.000637,0.000637
112,2246.95,0.41656,0.40218,0.94688,0.93664,0.6697,0.7229,0.53905,1.25047,0.60821,1.57286,0.0006337,0.0006337,0.0006337
113,2266.62,0.39973,0.38562,0.94151,0.94358,0.68317,0.75827,0.55427,1.22788,0.64321,1.53141,0.0006304,0.0006304,0.0006304
114,2286.37,0.40649,0.40603,0.94067,0.91985,0.72505,0.76456,0.55141,1.22795,0.59526,1.55108,0.0006271,0.0006271,0.0006271
115,2306.28,0.42829,0.41628,0.95175,0.77097,0.73611,0.69058,0.51394,1.25675,0.62651,1.56785,0.0006238,0.0006238,0.0006238
116,2325.75,0.42331,0.40359,0.9438,0.7476,0.73611,0.68575,0.51682,1.22044,0.63393,1.57452,0.0006205,0.0006205,0.0006205
117,2346.19,0.41762,0.39994,0.95172,0.87997,0.68387,0.73456,0.56883,1.28286,0.60341,1.65776,0.0006172,0.0006172,0.0006172
118,2366.45,0.41252,0.39867,0.94427,0.76926,0.73431,0.7352,0.5566,1.33991,0.52912,1.71862,0.0006139,0.0006139,0.0006139
119,2386.83,0.40781,0.40323,0.95352,0.92243,0.70533,0.72344,0.58199,1.23986,0.4927,1.61968,0.0006106,0.0006106,0.0006106
